interaction_id,agent_id,query,retrieved_sources,retrieved_content,source_last_validated,current_schema_version,agent_schema_version,output_claims,source_classification,agent_access_level,lineage_documented,output_matches_source,policy_masking_required,policy_masking_applied
INT-0010,agent-02,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-04 18:53:49,v4,v2,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,False,0.54,False,False
INT-0011,agent-03,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-05 08:24:33,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.84,False,False
INT-0012,agent-01,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-02 15:14:53,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.75,False,False
INT-0013,agent-02,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-04 03:57:25,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.53,False,False
INT-0014,agent-03,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-07 11:03:22,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.62,False,False
INT-0015,agent-01,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-11 05:04:43,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.84,False,False
INT-0016,agent-02,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-06 22:29:43,v4,v4,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.74,True,True
INT-0017,agent-03,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-07 09:16:25,v4,v2,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,False,0.52,True,True
INT-0018,agent-01,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-10 18:10:20,v4,v2,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.74,False,False
INT-0019,agent-02,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-05 01:17:22,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.64,False,False
INT-0020,agent-03,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-14 19:09:30,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.64,True,True
INT-0021,agent-01,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-12 14:17:44,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,True,0.6,False,False
INT-0022,agent-02,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-14 15:51:01,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.81,False,False
INT-0023,agent-03,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-06 06:30:19,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.62,True,False
INT-0024,agent-01,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-03 03:07:14,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.82,False,False
INT-0025,agent-02,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-08 20:50:52,v4,v4,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,False,0.55,False,False
INT-0026,agent-03,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-08 04:33:08,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.69,True,True
INT-0027,agent-01,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-11 20:39:19,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.68,True,True
INT-0028,agent-02,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-15 09:26:59,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.66,False,False
INT-0029,agent-03,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-03 07:56:03,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,True,0.56,False,False
INT-0030,agent-01,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-02 20:08:36,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,False,0.55,False,False
INT-0031,agent-02,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-05 20:38:25,v4,v4,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,True,0.81,False,False
INT-0032,agent-03,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-06 23:22:46,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.61,False,False
INT-0033,agent-01,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-13 23:17:27,v4,v2,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,False,0.73,False,False
INT-0034,agent-02,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-03 20:41:21,v4,v2,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.51,False,False
INT-0035,agent-03,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-07 20:21:44,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.65,False,False
INT-0036,agent-01,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-07 02:13:15,v4,v4,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.67,False,False
INT-0037,agent-02,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-12 00:55:25,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.65,False,False
INT-0038,agent-03,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-07 09:36:08,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.76,True,True
INT-0039,agent-01,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-14 12:55:27,v4,v4,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,True,0.61,False,False
INT-0040,agent-02,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-12 18:44:57,v4,v4,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.63,False,False
INT-0041,agent-03,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-03 12:29:21,v4,v4,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,False,0.7,True,True
INT-0042,agent-01,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-09 00:37:27,v4,v2,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.61,False,False
INT-0043,agent-02,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-08 22:02:23,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,False,0.62,False,False
INT-0044,agent-03,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-03 06:21:28,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.69,False,False
INT-0045,agent-01,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-03 06:18:57,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,True,0.63,False,False
INT-0046,agent-02,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-13 13:55:26,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,False,0.68,False,False
INT-0047,agent-03,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-01 15:55:38,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.84,False,False
INT-0048,agent-01,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-11 09:55:45,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.57,False,False
INT-0049,agent-02,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-15 19:41:26,v4,v4,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,False,0.67,False,False
INT-0050,agent-03,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-08 18:25:04,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.56,False,False
INT-0051,agent-01,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-12 00:16:32,v4,v4,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.69,False,False
INT-0052,agent-02,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-04 06:19:49,v4,v4,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.84,False,False
INT-0053,agent-03,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-05 14:52:59,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.67,False,False
INT-0054,agent-01,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-04 20:34:54,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.7,False,False
INT-0055,agent-02,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-07 04:53:42,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.74,False,False
INT-0056,agent-03,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-14 20:26:15,v4,v4,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.55,False,False
INT-0057,agent-01,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-04 21:00:35,v4,v2,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,True,0.76,False,False
INT-0058,agent-02,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-13 09:21:25,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.68,True,True
INT-0059,agent-03,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-02 19:38:07,v4,v4,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.77,True,True
INT-0060,agent-01,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-06 02:24:25,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,False,0.59,False,False
INT-0061,agent-02,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-01 21:45:07,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.57,True,True
INT-0062,agent-03,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-11 06:25:51,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.6,False,False
INT-0063,agent-01,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-10 19:18:36,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,True,0.83,False,False
INT-0064,agent-02,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-12 04:27:11,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.65,False,False
INT-0065,agent-03,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-13 11:15:19,v4,v2,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,True,0.74,False,False
INT-0066,agent-01,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-07 16:44:27,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.69,False,False
INT-0067,agent-02,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-10 07:12:41,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,False,0.77,True,False
INT-0068,agent-03,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-02 13:31:26,v4,v4,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.81,False,False
INT-0069,agent-01,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-02 00:59:27,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,True,0.82,True,False
INT-0070,agent-02,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-08 11:20:42,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.82,False,False
INT-0071,agent-03,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-13 20:42:57,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,True,0.64,False,False
INT-0072,agent-01,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-02 01:37:57,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.5,False,False
INT-0073,agent-02,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-01 18:07:19,v4,v4,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,True,0.69,True,True
INT-0074,agent-03,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-03 17:37:06,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,False,0.54,False,False
INT-0075,agent-01,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-12 15:23:04,v4,v4,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.78,False,False
INT-0076,agent-02,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-13 20:49:18,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.79,False,False
INT-0077,agent-03,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-06 11:04:04,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.61,True,False
INT-0078,agent-01,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-12 23:12:44,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.61,False,False
INT-0079,agent-02,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-06 16:40:26,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.54,True,True
INT-0080,agent-03,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-08 23:05:33,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.61,False,False
INT-0081,agent-01,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-12 01:47:11,v4,v2,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,False,0.55,False,False
INT-0082,agent-02,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-07 09:56:02,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.66,False,False
INT-0083,agent-03,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-13 05:22:18,v4,v4,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.81,False,False
INT-0084,agent-01,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-05 22:38:39,v4,v4,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.52,False,False
INT-0085,agent-02,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-07 21:49:38,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.68,False,False
INT-0086,agent-03,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-07 18:04:00,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.78,True,True
INT-0087,agent-01,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-09 15:33:09,v4,v4,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,True,0.78,False,False
INT-0088,agent-02,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-04 06:04:36,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.52,False,False
INT-0089,agent-03,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-01 14:06:55,v4,v2,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,False,0.83,True,False
INT-0090,agent-01,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-04 23:10:12,v4,v2,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.73,False,False
INT-0091,agent-02,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-10 18:18:26,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.63,False,False
INT-0092,agent-03,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-08 09:51:06,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,False,0.56,False,False
INT-0093,agent-01,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-05 13:58:15,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.51,False,False
INT-0094,agent-02,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-08 07:59:58,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.59,False,False
