interaction_id,agent_id,query,retrieved_sources,retrieved_content,source_last_validated,current_schema_version,agent_schema_version,output_claims,source_classification,agent_access_level,lineage_documented,output_matches_source,policy_masking_required,policy_masking_applied
INT-0010,agent-02,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-08 18:47:35,v4,v2,Top category is Electronics with 34% margin.,CONFIDENTIAL,INTERNAL,True,0.37,True,False
INT-0011,agent-03,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-04 09:09:10,v4,v2,312 tickets were resolved last week.,CONFIDENTIAL,INTERNAL,True,0.59,True,False
INT-0012,agent-01,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-08 05:27:03,v4,v2,Average order value for premium accounts is $890.,PII,INTERNAL,True,0.38,True,False
INT-0013,agent-02,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-12 00:49:30,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,CONFIDENTIAL,INTERNAL,False,0.51,True,False
INT-0014,agent-03,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-02 04:14:22,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,False,0.3,False,False
INT-0015,agent-01,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-01 13:47:17,v4,v2,7 agents exceeded 10 escalations this month.,CONFIDENTIAL,INTERNAL,True,0.48,True,False
INT-0016,agent-02,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-10 15:52:44,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.39,False,False
INT-0017,agent-03,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-05-31 09:15:23,v4,v2,"Found 1,847 active customers in the northeast.",PII,INTERNAL,True,0.4,True,False
INT-0018,agent-01,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-09 00:42:59,v4,v4,Top category is Electronics with 34% margin.,PII,INTERNAL,True,0.47,True,False
INT-0019,agent-02,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-12 13:22:51,v4,v4,312 tickets were resolved last week.,INTERNAL,INTERNAL,False,0.36,False,False
INT-0020,agent-03,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-05-29 07:08:18,v4,v4,Average order value for premium accounts is $890.,PII,INTERNAL,False,0.56,True,False
INT-0021,agent-01,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-12 18:01:57,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,PII,INTERNAL,False,0.47,True,False
INT-0022,agent-02,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-05-28 20:32:51,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.31,False,False
INT-0023,agent-03,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-09 16:23:51,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,True,0.41,False,False
INT-0024,agent-01,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-03 18:48:47,v4,v2,Total Q1 revenue was $4.2M across all regions.,PII,INTERNAL,True,0.32,True,False
INT-0025,agent-02,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-05-30 19:49:48,v4,v4,"Found 1,847 active customers in the northeast.",CONFIDENTIAL,INTERNAL,True,0.32,True,False
INT-0026,agent-03,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-05-29 18:39:31,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,False,0.33,False,False
INT-0027,agent-01,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-13 08:44:54,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,True,0.41,False,False
INT-0028,agent-02,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-05 14:43:04,v4,v4,Average order value for premium accounts is $890.,CONFIDENTIAL,INTERNAL,False,0.57,True,False
INT-0029,agent-03,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-01 01:09:17,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,CONFIDENTIAL,INTERNAL,True,0.35,True,False
INT-0030,agent-01,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-13 02:14:40,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.54,False,False
INT-0031,agent-02,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-05-28 07:59:45,v4,v2,7 agents exceeded 10 escalations this month.,PII,INTERNAL,True,0.6,True,False
INT-0032,agent-03,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-11 17:35:19,v4,v4,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.47,False,False
INT-0033,agent-01,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-05-27 23:11:44,v4,v2,"Found 1,847 active customers in the northeast.",PII,INTERNAL,False,0.32,True,False
INT-0034,agent-02,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-05-29 05:54:24,v4,v4,Top category is Electronics with 34% margin.,CONFIDENTIAL,INTERNAL,True,0.43,True,False
INT-0035,agent-03,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-03 15:02:44,v4,v4,312 tickets were resolved last week.,PII,INTERNAL,True,0.44,True,False
INT-0036,agent-01,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-06 02:31:37,v4,v4,Average order value for premium accounts is $890.,PII,INTERNAL,False,0.39,True,False
INT-0037,agent-02,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-05-28 18:10:29,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,True,0.41,False,False
INT-0038,agent-03,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-08 21:02:31,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,False,0.57,False,False
INT-0039,agent-01,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-10 20:35:32,v4,v2,7 agents exceeded 10 escalations this month.,PII,INTERNAL,False,0.44,True,False
INT-0040,agent-02,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-05-28 02:25:44,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.39,False,False
INT-0041,agent-03,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-11 23:06:29,v4,v4,"Found 1,847 active customers in the northeast.",PII,INTERNAL,False,0.55,True,False
INT-0042,agent-01,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-09 20:16:17,v4,v4,Top category is Electronics with 34% margin.,PII,INTERNAL,False,0.55,True,False
INT-0043,agent-02,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-06 18:19:56,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,False,0.59,False,False
INT-0044,agent-03,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-12 23:19:06,v4,v2,Average order value for premium accounts is $890.,CONFIDENTIAL,INTERNAL,False,0.56,True,False
INT-0045,agent-01,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-11 21:21:07,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,CONFIDENTIAL,INTERNAL,True,0.34,True,False
INT-0046,agent-02,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-05-30 09:12:29,v4,v4,Lead conversion rate in March was 18.4%.,PII,INTERNAL,False,0.59,True,False
INT-0047,agent-03,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-01 19:59:44,v4,v4,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.51,False,False
INT-0048,agent-01,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-13 03:06:19,v4,v2,Total Q1 revenue was $4.2M across all regions.,PII,INTERNAL,True,0.46,True,False
INT-0049,agent-02,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-11 22:28:21,v4,v4,"Found 1,847 active customers in the northeast.",CONFIDENTIAL,INTERNAL,True,0.34,True,False
INT-0050,agent-03,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-12 15:20:23,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,False,0.55,False,False
INT-0051,agent-01,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-12 23:58:16,v4,v4,312 tickets were resolved last week.,INTERNAL,INTERNAL,False,0.38,False,False
INT-0052,agent-02,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-08 19:48:26,v4,v2,Average order value for premium accounts is $890.,CONFIDENTIAL,INTERNAL,False,0.51,True,False
INT-0053,agent-03,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-02 11:54:37,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,CONFIDENTIAL,INTERNAL,True,0.47,True,False
INT-0054,agent-01,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-08 17:51:05,v4,v2,Lead conversion rate in March was 18.4%.,PII,INTERNAL,False,0.61,True,False
INT-0055,agent-02,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-02 18:39:07,v4,v4,7 agents exceeded 10 escalations this month.,CONFIDENTIAL,INTERNAL,True,0.65,True,False
INT-0056,agent-03,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-05 08:17:19,v4,v4,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.5,False,False
INT-0057,agent-01,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-06 21:32:25,v4,v2,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,False,0.38,False,False
INT-0058,agent-02,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-12 12:05:41,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,True,0.57,False,False
INT-0059,agent-03,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-05-27 22:36:58,v4,v2,312 tickets were resolved last week.,CONFIDENTIAL,INTERNAL,True,0.39,True,False
INT-0060,agent-01,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-05-31 12:16:03,v4,v4,Average order value for premium accounts is $890.,PII,INTERNAL,True,0.64,True,False
INT-0061,agent-02,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-07 11:14:22,v4,v4,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,True,0.36,False,False
INT-0062,agent-03,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-05-30 19:03:58,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.31,False,False
INT-0063,agent-01,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-05-28 09:23:45,v4,v4,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,True,0.37,False,False
INT-0064,agent-02,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-04 06:48:47,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.32,False,False
INT-0065,agent-03,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-13 03:52:09,v4,v2,"Found 1,847 active customers in the northeast.",CONFIDENTIAL,INTERNAL,False,0.51,True,False
INT-0066,agent-01,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-07 16:58:13,v4,v2,Top category is Electronics with 34% margin.,CONFIDENTIAL,INTERNAL,True,0.6,True,False
INT-0067,agent-02,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-13 03:03:34,v4,v4,312 tickets were resolved last week.,PII,INTERNAL,True,0.57,True,False
INT-0068,agent-03,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-05-28 04:05:31,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.44,False,False
INT-0069,agent-01,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-07 18:40:59,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,PII,INTERNAL,True,0.56,True,False
INT-0070,agent-02,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-05-31 00:55:41,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,True,0.36,False,False
INT-0071,agent-03,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-09 16:55:09,v4,v4,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.41,False,False
INT-0072,agent-01,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-11 08:02:30,v4,v4,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.63,False,False
INT-0073,agent-02,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-05-30 00:53:28,v4,v4,"Found 1,847 active customers in the northeast.",INTERNAL,INTERNAL,True,0.36,False,False
INT-0074,agent-03,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-05-28 20:12:59,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,False,0.5,False,False
INT-0075,agent-01,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-11 02:37:03,v4,v4,312 tickets were resolved last week.,INTERNAL,INTERNAL,False,0.64,False,False
INT-0076,agent-02,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-02 16:26:08,v4,v4,Average order value for premium accounts is $890.,CONFIDENTIAL,INTERNAL,True,0.53,True,False
INT-0077,agent-03,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-05 21:46:29,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.32,False,False
INT-0078,agent-01,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-05-31 02:53:45,v4,v4,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,False,0.45,False,False
INT-0079,agent-02,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-05-28 00:36:23,v4,v4,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.43,False,False
INT-0080,agent-03,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-11 18:37:01,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,True,0.53,False,False
INT-0081,agent-01,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-10 17:38:10,v4,v2,"Found 1,847 active customers in the northeast.",CONFIDENTIAL,INTERNAL,True,0.4,True,False
INT-0082,agent-02,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-09 01:27:35,v4,v2,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,False,0.61,False,False
INT-0083,agent-03,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-01 01:21:00,v4,v4,312 tickets were resolved last week.,CONFIDENTIAL,INTERNAL,True,0.33,True,False
INT-0084,agent-01,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-01 12:33:43,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.51,False,False
INT-0085,agent-02,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-06-10 19:54:05,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,False,0.37,False,False
INT-0086,agent-03,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-06-02 06:28:33,v4,v2,Lead conversion rate in March was 18.4%.,INTERNAL,INTERNAL,False,0.44,False,False
INT-0087,agent-01,List agents with more than 10 escalations this month.,support_db.agent_performance,Agents with more than 10 escalations this month: 7. Highest escalation count: 23. Department with most escalations: billing.,2026-06-10 21:20:07,v4,v2,7 agents exceeded 10 escalations this month.,INTERNAL,INTERNAL,False,0.4,False,False
INT-0088,agent-02,What is the total revenue for Q1?,sales_db.revenue_summary,"Q1 revenue totaled 4.2 million dollars across all regions. Northeast contributed 1.1M, Southwest 0.9M, and remaining regions 2.2M.",2026-06-10 02:31:57,v4,v2,Total Q1 revenue was $4.2M across all regions.,INTERNAL,INTERNAL,False,0.4,False,False
INT-0089,agent-03,List all active customers in the northeast region.,crm.customer_master,Active customer count in northeast region is 1847. Accounts flagged inactive in last 90 days: 203.,2026-06-05 10:46:59,v4,v2,"Found 1,847 active customers in the northeast.",PII,INTERNAL,True,0.46,True,False
INT-0090,agent-01,Summarize the top 5 product categories by margin.,product_db.category_margins,Top product category by margin is Electronics at 34 percent. Second is Apparel at 28 percent. Third is Home Goods at 22 percent.,2026-06-11 22:48:58,v4,v4,Top category is Electronics with 34% margin.,INTERNAL,INTERNAL,False,0.61,False,False
INT-0091,agent-02,How many support tickets were resolved last week?,support_db.ticket_log,Support tickets resolved in the last 7 days: 312. Open tickets: 87. Average resolution time: 4.2 hours.,2026-06-10 07:52:26,v4,v2,312 tickets were resolved last week.,INTERNAL,INTERNAL,False,0.39,False,False
INT-0092,agent-03,What is the average order value for premium accounts?,orders_db.account_summary,Premium account average order value is 890 dollars. Standard account average is 340 dollars. Total premium accounts: 4201.,2026-06-03 21:47:14,v4,v2,Average order value for premium accounts is $890.,INTERNAL,INTERNAL,True,0.33,False,False
INT-0093,agent-01,Show churn rate by segment for the last 90 days.,analytics.churn_metrics,Overall churn rate for last 90 days is 3.2 percent. Enterprise segment churn is 1.1 percent. SMB segment churn is 6.8 percent.,2026-05-30 18:15:44,v4,v2,Overall churn rate is 3.2% with enterprise segment at 1.1%.,INTERNAL,INTERNAL,True,0.38,False,False
INT-0094,agent-02,What percentage of leads converted in March?,crm.lead_funnel,Lead conversion rate for March was 18.4 percent. Total leads: 2340. Converted: 430. Average time to convert: 12 days.,2026-05-30 04:57:17,v4,v4,Lead conversion rate in March was 18.4%.,PII,INTERNAL,False,0.49,True,False
